"Merchant ID",Merchant,Website,Currency,"Business Categories",MCC,"Risk Level","Sales Volume","Gross Revenue","Chargeback Ratio"
1053,kinny,https://fiveabook.com,USD,"Books and magazines",,Low,59.60,13.66,0.00
1053,kinny,https://fiveabook.com,EUR,"Books and magazines",,Low,0.50,0.52,0.00
1054,"omas ",https://slimstore.lt,EUR,"Clothing and shoes",,Low,200.30,8.81,0.00
1059,"AB ""V",https://obdeleven.com,USD,Gadgets,,Low,9571.09,762.44,0.00
1059,"AB ""V",https://obdeleven.com,GBP,Gadgets,,Low,2231.70,210.63,0.00
1059,"AB ""V",https://obdeleven.com,EUR,Gadgets,,Low,50111.56,1793.33,0.17
1062,"B ""Ne","https://jaakuivaks.ee, https://nesamirksti.lv, https://nesuslapk.lt",EUR,"Home appliances",,Low,1116.85,8.89,0.00
1065,ierel,https://nuovagioielleria.it,EUR,Accessories,,Low,3722.30,419.87,0.00
1067,"AB ""S",https://themoodsstudio.com,EUR,"Clothing and shoes",,Low,421.00,35.43,0.00
1075,"B ""Kr","https://ecoteething.com, https://teethingtoys.eu",EUR,"Baby and children products",,Low,500.50,1.00,0.00
1078,"AB DE","https://alio.lt, https://delfi.lt",EUR,"Marketing and advertising, Service subscriptions",,Low,4144.34,133.14,0.00
1082,"ed Li","https://red-life.co.uk, https://red-life.de, https://red-life.net",EUR,"Escort Advertising",,Low,6017.00,60.50,0.00
1083,"AB Ev","https://evchargeplus.com, https://evchargeplus.lt, https://evchargeplus.pl",EUR,Electronics,,Low,6436.35,118.06,0.00
1086,Endur,"https://4endurance.hr, https://4endurance.hu, https://4endurance.it, https://4endurance.net, https://4endurance.si, https://gowattsocks.com, https://gowattsocks.si, https://nduranz.com",EUR,"Clothing and shoes, Vitamins and food supplements",,Low,2444.93,245.00,0.00
1088,"B ""Sa",https://smaliziauskrautuvele.lt,EUR,"Food and drinks",,Low,12.98,2.98,0.00
1090,"CUBE ",https://bcubeagency.com,USD,"Marketing and advertising",,Low,3637.69,448.50,0.00
1090,"CUBE ",https://bcubeagency.com,EUR,"Marketing and advertising",,Low,55414.54,3177.66,0.03
1091,"AB Le",https://letenos.lt,EUR,"Pet supplies",,Low,1382.32,69.47,0.00
1093,"web M",https://girl-directory.com,USD,"Escort Advertising",,Medium,28432.95,588.49,0.00
1093,"web M",https://girl-directory.com,GBP,"Escort Advertising",,Medium,103.95,4.69,0.00
1093,"web M",https://girl-directory.com,EUR,"Escort Advertising",,Medium,1232.70,21.34,0.00
1096,ikkel,https://smm-world.com,USD,"Marketing and advertising",,Low,8398.00,0.00,0.14
1097,"AB Ar",https://artimiausias.lt,EUR,"Food and drinks, Service subscriptions",,Low,294.00,13.52,0.00
1100,uckFe,"https://duckferries.com, https://gilitickets.online",EUR,"Booking and reservations",,Low,16293.18,2.00,0.00
1101,"oxi S",https://roxivpn.com,USD,"Web hosting",,Low,26.50,17.48,0.00
1102,arian,https://varianto25.com,EUR,Accessories,,Low,820.46,6.57,0.00
1104,udriu,https://ali-tools.com,EUR,"Building materials and tools",,Low,653.00,5.41,0.00
1105,J-Inv,"https://sextra.dk, https://sextra.io",EUR,"Escort Advertising, Marketing and advertising",,Low,100.00,1.05,0.00
1106,érola,"https://peroladoprazer.com, https://peroladoprazer.com/",EUR,"Adult products",,Low,821.25,51.84,0.00
1110,"AB Fi",https://filladerm.com,EUR,"Beauty and fragrances",,Low,425.90,36.13,0.00
1117,"AB Tr","https://kedukas.lt, https://parfumesencija.lt",EUR,"Accessories, Beauty and fragrances",,Low,832.33,40.60,0.00
1118,"ME SW",https://naturalpeptides.eu,EUR,"Vitamins and food supplements",,Low,820.00,6.71,0.00
1121,"AB Mo",https://killercustom.com,EUR,Accessories,,Low,1490.70,492.22,0.00
1124,auryn,https://bakli.lt,EUR,Accessories,,Low,3612.70,188.37,0.00
