"Merchant ID",Merchant,Website,Currency,"Business Categories",MCC,"Risk Level","Sales Volume","Gross Revenue"
1067,"AB ""S",https://themoodsstudio.com,EUR,"Clothing and shoes",,Low,421.00,35.43
1075,"B ""Kr",https://teethingtoys.eu,EUR,"Baby and children products",,Low,500.50,1.00
1078,"AB DE",https://delfi.lt,EUR,"Marketing and advertising, Service subscriptions",,Low,4338.49,133.14
1082,"ed Li",https://red-life.net,EUR,"Escort Advertising",,Low,6083.00,60.50
1083,"AB Ev",https://evchargeplus.com,EUR,Electronics,,Low,6436.35,118.06
1086,Endur,https://4endurance.si,EUR,"Clothing and shoes, Vitamins and food supplements",,Low,2507.93,245.00
1088,"B ""Sa",https://smaliziauskrautuvele.lt,EUR,"Food and drinks",,Low,12.98,2.98
1090,"CUBE ",https://bcubeagency.com,USD,"Marketing and advertising",,Low,3704.58,448.50
1090,"CUBE ",https://bcubeagency.com,EUR,"Marketing and advertising",,Low,57464.02,3177.66
1091,"AB Le",https://letenos.lt,EUR,"Pet supplies",,Low,1430.71,69.47
1093,"web M",https://girl-directory.com,USD,"Escort Advertising",,Medium,30031.05,588.49
1093,"web M",https://girl-directory.com,GBP,"Escort Advertising",,Medium,103.95,4.69
1093,"web M",https://girl-directory.com,EUR,"Escort Advertising",,Medium,1258.95,21.34
1096,ikkel,https://smm-world.com,USD,"Marketing and advertising",,Low,8603.00,0.00
1097,"AB Ar",https://artimiausias.lt,EUR,"Food and drinks, Service subscriptions",,Low,294.00,13.52
1100,uckFe,https://duckferries.com,EUR,"Booking and reservations",,Low,17236.93,2.00
1101,"oxi S",https://roxivpn.com,USD,"Web hosting",,Low,26.50,17.48
1102,arian,https://varianto25.com,EUR,Accessories,,Low,820.46,6.57
1104,udriu,https://ali-tools.com,EUR,"Building materials and tools",,Low,653.00,5.41
1105,J-Inv,https://sextra.dk,EUR,"Escort Advertising, Marketing and advertising",,Low,100.00,1.05
1106,érola,https://peroladoprazer.com,EUR,"Adult products",,Low,821.25,51.84
1110,"AB Fi",https://filladerm.com,EUR,"Beauty and fragrances",,Low,425.90,36.13
1117,"AB Tr",https://parfumesencija.lt,EUR,"Accessories, Beauty and fragrances",,Low,832.33,40.60
1118,"ME SW",https://naturalpeptides.eu,EUR,"Vitamins and food supplements",,Low,820.00,6.71
1121,"AB Mo",https://killercustom.com,EUR,Accessories,,Low,1846.30,492.22
1124,auryn,https://bakli.lt,EUR,Accessories,,Low,3687.10,188.37
1126,"AB Ba",https://barsail.com,EUR,"Food and drinks",,Low,50.93,0.26
1127,"AB Ol",https://oliver.lt,EUR,"Household supplies",,Low,1960.58,63.12
1133,"B Inb",https://livebettingstrategies.com,EUR,SaaS,,Low,219.20,1.50
1134,acliw,https://socialads.eu,EUR,"Marketing and advertising",,Low,15248.91,762.44
1138,"AB In",https://provitaminai.lt,EUR,"Vitamins and food supplements",,Low,140.02,2.48
1140,iveLa,https://tryst.link,USD,"Escort Advertising",,Medium,21631.97,4591.62
1140,iveLa,https://tryst.link,EUR,"Escort Advertising",,Medium,26594.00,116.96
